CUSTOMERNUMBER;NAME;PHONE;ADDRESS;CITY;STATE
112;Signal Gift Stores;7025551838;8489 Strong St.;Las Vegas;NV
124;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;San Rafael;CA
129;Mini Wheels Co.;6505555787;5557 North Pendale Street;San Francisco;CA
131;Land of Toys Inc.;2125557818;897 Long Airport Avenue;NYC;NY
151;Muscle Machine Inc;2125557413;4092 Furth Circle;NYC;NY
157;Diecast Classics Inc.;2155551555;7586 Pompton St.;Allentown;PA
161;Technics Stores Inc.;6505556809;9408 Furth Circle;Burlingame;CA
168;American Souvenirs Inc;2035557845;149 Spinnaker Dr.;New Haven;CT
173;Cambridge Collectables Co.;6175555555;4658 Baden Av.;Cambridge;MA
175;Gift Depot Inc.;2035552570;25593 South Bay Ln.;Bridgewater;CT
181;Vitachrome Inc.;2125551500;2678 Kingston Rd.;NYC;NY
198;Auto-Moto Classics Inc.;6175558428;16780 Pompton St.;Brickhaven;MA
204;Online Mini Collectables;6175557555;7635 Spinnaker Dr.;Brickhaven;MA
205;Toys4GrownUps.com;6265557265;78934 Hillside Dr.;Pasadena;CA
219;Boards & Toys Co.;3105552373;4097 Douglas Av.;Glendale;CA
239;Collectable Mini Designs Co.;7605558146;361 Furth Circle;San Diego;CA
286;Marta's Replicas Co.;6175558555;39323 Spinnaker Dr.;Cambridge;MA
319;Mini Classics;9145554562;3758 North Pendale Street;White Plains;NY
320;Mini Creations Ltd.;5085559555;4575 Hillside Dr.;New Bedford;MA
321;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;San Francisco;CA
328;Tekni Collectables Inc.;2015559350;7476 Moss Rd.;Newark;NJ
339;Classic Gift Ideas, Inc;2155554695;782 First Street;Philadelphia;PA
347;Men 'R' US Retailers, Ltd.;2155554369;6047 Douglas Av.;Los Angeles;CA
362;Gifts4AllAges.com;6175559555;8616 Spinnaker Dr.;Boston;MA
363;Online Diecast Creations Co.;6035558647;2304 Long Airport Avenue;Nashua;NH
379;Collectables For Less Inc.;6175558555;7825 Douglas Av.;Brickhaven;MA
424;Classic Legends Inc.;2125558493;5905 Pompton St.;NYC;NY
447;Gift Ideas Corp.;2035554407;2440 Pompton St.;Glendale;CT
450;The Sharp Gifts Warehouse;4085553659;3086 Ingle Ln.;San Jose;CA
455;Super Scale Inc.;2035559545;567 North Pendale Street;New Haven;CT
456;Microscale Inc.;2125551957;5290 North Pendale Street;NYC;NY
462;FunGiftIdeas.com;5085552555;1785 First Street;New Bedford;MA
475;West Coast Collectables Co.;3105553722;3675 Furth Circle;Burbank;CA
486;Motor Mint Distributors Inc.;2155559857;11328 Douglas Av.;Philadelphia;PA
487;Signal Collectibles Ltd.;4155554312;2793 Furth Circle;Brisbane;CA
495;Diecast Collectables;6175552555;6251 Ingle Ln.;Boston;MA
