ORDERNUMBER;ORDERDATE;REQUIREDDATE;SHIPPEDDATE
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
10100;2003-01-06 00:00:00.0;2003-01-13 00:00:00.0;2003-01-10 00:00:00.0
