BUYPRICE;CUSTOMERNUMBER;CREDITLIMIT;TERRITORY
87;112;71800.0;NA        
33;112;71800.0;NA        
58;112;71800.0;NA        
43;112;71800.0;NA        
34;112;71800.0;NA        
49;112;71800.0;NA        
23;112;71800.0;NA        
21;112;71800.0;NA        
47;112;71800.0;NA        
73;112;71800.0;NA        
51;112;71800.0;NA        
62;112;71800.0;NA        
22;112;71800.0;NA        
84;112;71800.0;NA        
66;112;71800.0;NA        
54;112;71800.0;NA        
94;112;71800.0;NA        
57;112;71800.0;NA        
78;112;71800.0;NA        
62;112;71800.0;NA        
29;112;71800.0;NA        
16;112;71800.0;NA        
98;112;71800.0;NA        
61;112;71800.0;NA        
47;112;71800.0;NA        
73;112;71800.0;NA        
51;112;71800.0;NA        
62;112;71800.0;NA        
22;112;71800.0;NA        
78;124;210500.0;NA        
58;124;210500.0;NA        
23;124;210500.0;NA        
34;124;210500.0;NA        
95;124;210500.0;NA        
75;124;210500.0;NA        
32;124;210500.0;NA        
59;124;210500.0;NA        
54;124;210500.0;NA        
49;124;210500.0;NA        
73;124;210500.0;NA        
33;124;210500.0;NA        
70;124;210500.0;NA        
47;124;210500.0;NA        
16;124;210500.0;NA        
39;124;210500.0;NA        
98;124;210500.0;NA        
32;124;210500.0;NA        
24;124;210500.0;NA        
56;124;210500.0;NA        
34;124;210500.0;NA        
96;124;210500.0;NA        
89;124;210500.0;NA        
83;124;210500.0;NA        
68;124;210500.0;NA        
68;124;210500.0;NA        
92;124;210500.0;NA        
53;124;210500.0;NA        
82;124;210500.0;NA        
47;124;210500.0;NA        
27;124;210500.0;NA        
37;124;210500.0;NA        
34;124;210500.0;NA        
43;124;210500.0;NA        
51;124;210500.0;NA        
54;124;210500.0;NA        
33;124;210500.0;NA        
61;124;210500.0;NA        
24;124;210500.0;NA        
87;124;210500.0;NA        
33;124;210500.0;NA        
58;124;210500.0;NA        
73;124;210500.0;NA        
58;124;210500.0;NA        
43;124;210500.0;NA        
34;124;210500.0;NA        
49;124;210500.0;NA        
23;124;210500.0;NA        
21;124;210500.0;NA        
47;124;210500.0;NA        
73;124;210500.0;NA        
51;124;210500.0;NA        
62;124;210500.0;NA        
22;124;210500.0;NA        
103;124;210500.0;NA        
78;124;210500.0;NA        
56;124;210500.0;NA        
75;124;210500.0;NA        
25;124;210500.0;NA        
78;124;210500.0;NA        
85;124;210500.0;NA        
23;124;210500.0;NA        
61;124;210500.0;NA        
16;124;210500.0;NA        
54;124;210500.0;NA        
26;124;210500.0;NA        
34;124;210500.0;NA        
47;124;210500.0;NA        
56;124;210500.0;NA        
102;124;210500.0;NA        
75;124;210500.0;NA        
25;124;210500.0;NA        
78;124;210500.0;NA        
32;124;210500.0;NA        
61;124;210500.0;NA        
16;124;210500.0;NA        
70;124;210500.0;NA        
26;124;210500.0;NA        
68;124;210500.0;NA        
96;124;210500.0;NA        
89;124;210500.0;NA        
83;124;210500.0;NA        
102;124;210500.0;NA        
68;124;210500.0;NA        
68;124;210500.0;NA        
92;124;210500.0;NA        
32;124;210500.0;NA        
70;124;210500.0;NA        
27;124;210500.0;NA        
68;124;210500.0;NA        
37;124;210500.0;NA        
43;124;210500.0;NA        
99;124;210500.0;NA        
58;124;210500.0;NA        
61;124;210500.0;NA        
24;124;210500.0;NA        
87;124;210500.0;NA        
33;124;210500.0;NA        
58;124;210500.0;NA        
73;124;210500.0;NA        
61;124;210500.0;NA        
34;124;210500.0;NA        
61;124;210500.0;NA        
58;124;210500.0;NA        
23;124;210500.0;NA        
23;124;210500.0;NA        
21;124;210500.0;NA        
22;124;210500.0;NA        
57;124;210500.0;NA        
16;124;210500.0;NA        
54;124;210500.0;NA        
26;124;210500.0;NA        
99;124;210500.0;NA        
103;124;210500.0;NA        
78;124;210500.0;NA        
58;124;210500.0;NA        
25;124;210500.0;NA        
61;124;210500.0;NA        
34;124;210500.0;NA        
61;124;210500.0;NA        
58;124;210500.0;NA        
85;124;210500.0;NA        
47;124;210500.0;NA        
73;124;210500.0;NA        
51;124;210500.0;NA        
62;124;210500.0;NA        
22;124;210500.0;NA        
96;124;210500.0;NA        
56;124;210500.0;NA        
102;124;210500.0;NA        
32;124;210500.0;NA        
61;124;210500.0;NA        
16;124;210500.0;NA        
70;124;210500.0;NA        
54;124;210500.0;NA        
26;124;210500.0;NA        
27;124;210500.0;NA        
68;124;210500.0;NA        
47;124;210500.0;NA        
96;124;210500.0;NA        
89;124;210500.0;NA        
83;124;210500.0;NA        
56;124;210500.0;NA        
102;124;210500.0;NA        
58;124;210500.0;NA        
85;124;210500.0;NA        
23;124;210500.0;NA        
61;124;210500.0;NA        
57;124;210500.0;NA        
54;124;210500.0;NA        
34;124;210500.0;NA        
47;124;210500.0;NA        
49;124;210500.0;NA        
34;124;210500.0;NA        
84;124;210500.0;NA        
94;124;210500.0;NA        
58;124;210500.0;NA        
73;124;210500.0;NA        
49;124;210500.0;NA        
73;124;210500.0;NA        
33;124;210500.0;NA        
70;124;210500.0;NA        
47;124;210500.0;NA        
16;124;210500.0;NA        
39;124;210500.0;NA        
98;124;210500.0;NA        
32;124;210500.0;NA        
24;124;210500.0;NA        
56;124;210500.0;NA        
34;124;210500.0;NA        
83;124;210500.0;NA        
68;124;210500.0;NA        
68;124;210500.0;NA        
53;124;210500.0;NA        
82;124;210500.0;NA        
47;124;210500.0;NA        
49;124;210500.0;NA        
34;124;210500.0;NA        
73;124;210500.0;NA        
21;124;210500.0;NA        
61;129;64600.0;NA        
24;129;64600.0;NA        
34;129;64600.0;NA        
61;129;64600.0;NA        
58;129;64600.0;NA        
57;129;64600.0;NA        
49;129;64600.0;NA        
69;129;64600.0;NA        
91;129;64600.0;NA        
66;129;64600.0;NA        
24;129;64600.0;NA        
61;129;64600.0;NA        
37;129;64600.0;NA        
99;129;64600.0;NA        
78;129;64600.0;NA        
58;129;64600.0;NA        
61;129;64600.0;NA        
58;129;64600.0;NA        
23;129;64600.0;NA        
57;129;64600.0;NA        
34;129;64600.0;NA        
49;131;114900.0;NA        
69;131;114900.0;NA        
91;131;114900.0;NA        
66;131;114900.0;NA        
24;131;114900.0;NA        
61;131;114900.0;NA        
37;131;114900.0;NA        
67;131;114900.0;NA        
86;131;114900.0;NA        
52;131;114900.0;NA        
68;131;114900.0;NA        
68;131;114900.0;NA        
53;131;114900.0;NA        
82;131;114900.0;NA        
47;131;114900.0;NA        
49;131;114900.0;NA        
34;131;114900.0;NA        
43;131;114900.0;NA        
34;131;114900.0;NA        
51;131;114900.0;NA        
54;131;114900.0;NA        
33;131;114900.0;NA        
56;131;114900.0;NA        
102;131;114900.0;NA        
75;131;114900.0;NA        
78;131;114900.0;NA        
92;131;114900.0;NA        
32;131;114900.0;NA        
16;131;114900.0;NA        
70;131;114900.0;NA        
26;131;114900.0;NA        
27;131;114900.0;NA        
68;131;114900.0;NA        
37;131;114900.0;NA        
49;131;114900.0;NA        
69;131;114900.0;NA        
91;131;114900.0;NA        
95;131;114900.0;NA        
66;131;114900.0;NA        
75;131;114900.0;NA        
32;131;114900.0;NA        
59;131;114900.0;NA        
54;131;114900.0;NA        
24;131;114900.0;NA        
49;131;114900.0;NA        
61;131;114900.0;NA        
37;131;114900.0;NA        
67;131;114900.0;NA        
33;131;114900.0;NA        
96;151;138500.0;NA        
89;151;138500.0;NA        
83;151;138500.0;NA        
56;151;138500.0;NA        
102;151;138500.0;NA        
75;151;138500.0;NA        
78;151;138500.0;NA        
92;151;138500.0;NA        
32;151;138500.0;NA        
16;151;138500.0;NA        
70;151;138500.0;NA        
26;151;138500.0;NA        
27;151;138500.0;NA        
68;151;138500.0;NA        
37;151;138500.0;NA        
84;151;138500.0;NA        
66;151;138500.0;NA        
87;151;138500.0;NA        
94;151;138500.0;NA        
33;151;138500.0;NA        
58;151;138500.0;NA        
57;151;138500.0;NA        
62;151;138500.0;NA        
43;151;138500.0;NA        
34;151;138500.0;NA        
49;151;138500.0;NA        
29;151;138500.0;NA        
47;151;138500.0;NA        
73;151;138500.0;NA        
51;151;138500.0;NA        
62;151;138500.0;NA        
22;151;138500.0;NA        
34;151;138500.0;NA        
49;151;138500.0;NA        
47;151;138500.0;NA        
73;151;138500.0;NA        
51;151;138500.0;NA        
62;151;138500.0;NA        
83;151;138500.0;NA        
56;151;138500.0;NA        
102;151;138500.0;NA        
75;151;138500.0;NA        
78;151;138500.0;NA        
92;151;138500.0;NA        
32;151;138500.0;NA        
16;151;138500.0;NA        
70;151;138500.0;NA        
26;151;138500.0;NA        
96;157;100600.0;NA        
89;157;100600.0;NA        
83;157;100600.0;NA        
92;157;100600.0;NA        
27;157;100600.0;NA        
37;157;100600.0;NA        
103;157;100600.0;NA        
78;157;100600.0;NA        
56;157;100600.0;NA        
75;157;100600.0;NA        
25;157;100600.0;NA        
78;157;100600.0;NA        
85;157;100600.0;NA        
23;157;100600.0;NA        
61;157;100600.0;NA        
16;157;100600.0;NA        
54;157;100600.0;NA        
26;157;100600.0;NA        
34;157;100600.0;NA        
47;157;100600.0;NA        
49;157;100600.0;NA        
69;157;100600.0;NA        
91;157;100600.0;NA        
49;157;100600.0;NA        
24;157;100600.0;NA        
61;157;100600.0;NA        
37;157;100600.0;NA        
67;157;100600.0;NA        
59;157;100600.0;NA        
61;157;100600.0;NA        
24;157;100600.0;NA        
99;161;84600.0;NA        
103;161;84600.0;NA        
78;161;84600.0;NA        
