PRODUCTNAME,CUSTOMERNUMBER
1938 Cadillac V-16 Presidential Limousine,103
1936 Harley Davidson El Knucklehead,103
1996 Moto Guzzi 1100i,103
1936 Mercedes Benz 500k Roadster,112
2002 Chevy Corvette,112
1993 Mazda RX-7,112
1948 Porsche 356-A Roadster,112
1995 Honda Civic,112
1999 Indy 500 Monte Carlo SS,112
1992 Ferrari 360 Spider red,112
1965 Aston Martin DB5,112
1966 Shelby Cobra 427 S/C,112
1982 Lamborghini Diablo,112
1956 Porsche 356A Coupe,112
1937 Lincoln Berline,112
1949 Jaguar XK 120,112
1952 Citroen-15CV,112
1969 Chevrolet Camaro Z28,112
1948 Porsche Type 356 Roadster,112
1936 Mercedes-Benz 500K Special Roadster,114
1940s Ford truck,114
1917 Maxwell Touring Car,114
18th Century Vintage Horse Carriage,114
1934 Ford V8 Coupe,114
1913 Ford Model T Speedster,114
1928 Mercedes-Benz SSK,114
1926 Ford Fire Engine,114
1940 Ford Pickup Truck,114
1958 Setra Bus,114
1969 Harley Davidson Ultimate Chopper,114
1952 Alpine Renault 1300,114
1995 Honda Civic,114
1962 LanciaA Delta 16V,114
1948 Porsche 356-A Roadster,114
1993 Mazda RX-7,114
F/A 18 Hornet 1/72,114
ATA: B757-300,114
American Airlines: B767-300,114
1930 Buick Marquette Phaeton,114
1928 Ford Phaeton Deluxe,114
1997 BMW F650 ST,114
1900s Vintage Tri-Plane,114
1960 BSA Gold Star DBD34 1960,114
1997 BMW R 1100 S,114
1928 British Royal Navy Airplane,114
1936 Harley Davidson El Knucklehead,114
P-51-D Mustang,114
1992 Ferrari 360 Spider red,114
2003 Harley-Davidson Eagle Drag Bike,114
1996 Moto Guzzi 1100i,114
1969 Dodge Super Bee,114
1976 Ford Gran Torino,114
1957 Vespa GS150,114
1957 Corvette Convertible,114
1982 Lamborghini Diablo,114
1971 Alpine Renault 1600s,114
1956 Porsche 356A Coupe,114
1969 Harley Davidson Ultimate Chopper,119
1996 Moto Guzzi 1100i,119
2003 Harley-Davidson Eagle Drag Bike,119
1928 British Royal Navy Airplane,119
1936 Harley Davidson El Knucklehead,119
The Queen Mary,119
The Titanic,119
1912 Ford Model T Delivery Wagon,119
18th century schooner,119
1904 Buick Runabout,119
American Airlines: MD-11S,119
F/A 18 Hornet 1/72,119
ATA: B757-300,119
P-51-D Mustang,119
America West Airlines B757-200,119
1930 Buick Marquette Phaeton,119
1928 Ford Phaeton Deluxe,119
1997 BMW F650 ST,119
1900s Vintage Tri-Plane,119
Corsair F4U ( Bird Cage),119
1960 BSA Gold Star DBD34 1960,119
1997 BMW R 1100 S,119
American Airlines: B767-300,119
The Schooner Bluenose,119
Pont Yacht,119
1950's Chicago Surface Lines Streetcar,121
1992 Porsche Cayenne Turbo Silver,121
1954 Greyhound Scenicruiser,121
Diamond T620 Semi-Skirted Tanker,121
1962 City of Detroit Streetcar,121
1903 Ford Model A,121
2001 Ferrari Enzo,121
1972 Alfa Romeo GTA,121
1969 Ford Falcon,121
1974 Ducati 350 Mk3 Desmo,121
1982 Ducati 900 Monster,121
1997 BMW R 1100 S,121
2002 Suzuki XREO,121
1969 Harley Davidson Ultimate Chopper,121
2002 Yamaha YZR M1,121
Diamond T620 Semi-Skirted Tanker,124
1998 Chrysler Plymouth Prowler,124
1970 Dodge Coronet,124
1992 Porsche Cayenne Turbo Silver,124
2001 Ferrari Enzo,124
1950's Chicago Surface Lines Streetcar,124
1969 Ford Falcon,124
1903 Ford Model A,124
Collectable Wooden Train,124
1982 Camaro Z28,124
1969 Corvair Monza,124
1996 Peterbilt 379 Stake Bed with Outrigger,124
1954 Greyhound Scenicruiser,124
1926 Ford Fire Engine,124
1958 Chevy Corvette Limited Edition,124
1962 Volkswagen Microbus,124
1939 Cadillac Limousine,124
1940s Ford truck,124
1992 Ferrari 360 Spider red,124
1970 Triumph Spitfire,124
1964 Mercedec Tour Bus,124
1957 Chevy Pickup,124
