CUSTOMERNUMBER,BUYPRICE,CREDITLIMIT,TERRITORY
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,< 30    ,< 100k     ,NA
112,< 30    ,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,< 30    ,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,< 30    ,< 100k     ,NA
112,< 30    ,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,30 - 100,< 100k     ,NA
112,< 30    ,< 100k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,> 100   ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,< 30    ,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
124,30 - 100,> 200k     ,NA
