PRODUCTLINE,CUSTOMERNUMBER,CREDITLIMIT
Motorcycles,114,117300.0000
Motorcycles,114,117300.0000
Planes,114,117300.0000
Motorcycles,114,117300.0000
Motorcycles,114,117300.0000
Planes,114,117300.0000
Motorcycles,114,117300.0000
Planes,114,117300.0000
Motorcycles,114,117300.0000
Vintage Cars,114,117300.0000
Vintage Cars,114,117300.0000
Planes,114,117300.0000
Planes,114,117300.0000
Planes,114,117300.0000
Planes,114,117300.0000
Vintage Cars,114,117300.0000
Vintage Cars,114,117300.0000
Motorcycles,114,117300.0000
Motorcycles,114,117300.0000
Motorcycles,114,117300.0000
Planes,114,117300.0000
Motorcycles,114,117300.0000
Motorcycles,114,117300.0000
Planes,114,117300.0000
Motorcycles,114,117300.0000
Planes,114,117300.0000
Motorcycles,114,117300.0000
Vintage Cars,114,117300.0000
Vintage Cars,114,117300.0000
Planes,114,117300.0000
Planes,114,117300.0000
Planes,114,117300.0000
Classic Cars,114,117300.0000
Classic Cars,114,117300.0000
Classic Cars,114,117300.0000
Classic Cars,114,117300.0000
Classic Cars,114,117300.0000
Classic Cars,114,117300.0000
Motorcycles,114,117300.0000
Classic Cars,114,117300.0000
Classic Cars,114,117300.0000
Classic Cars,114,117300.0000
Classic Cars,114,117300.0000
Classic Cars,114,117300.0000
Classic Cars,114,117300.0000
Trucks and Buses,114,117300.0000
Trucks and Buses,114,117300.0000
Vintage Cars,114,117300.0000
Trucks and Buses,114,117300.0000
Vintage Cars,114,117300.0000
Vintage Cars,114,117300.0000
Vintage Cars,114,117300.0000
Vintage Cars,114,117300.0000
Vintage Cars,114,117300.0000
Trucks and Buses,114,117300.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Vintage Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Motorcycles,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Motorcycles,276,107800.0000
Classic Cars,276,107800.0000
Motorcycles,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Motorcycles,276,107800.0000
Motorcycles,276,107800.0000
Motorcycles,276,107800.0000
Classic Cars,276,107800.0000
Trucks and Buses,276,107800.0000
Trucks and Buses,276,107800.0000
Trucks and Buses,276,107800.0000
Trucks and Buses,276,107800.0000
Classic Cars,276,107800.0000
Trucks and Buses,276,107800.0000
Vintage Cars,276,107800.0000
Trucks and Buses,276,107800.0000
Classic Cars,276,107800.0000
Classic Cars,276,107800.0000
Trucks and Buses,276,107800.0000
Trucks and Buses,276,107800.0000
Vintage Cars,276,107800.0000
Vintage Cars,276,107800.0000
Trucks and Buses,276,107800.0000
Vintage Cars,276,107800.0000
Vintage Cars,276,107800.0000
Vintage Cars,276,107800.0000
Vintage Cars,496,110000.0000
Vintage Cars,496,110000.0000
Vintage Cars,496,110000.0000
Vintage Cars,496,110000.0000
Classic Cars,496,110000.0000
Classic Cars,496,110000.0000
Vintage Cars,496,110000.0000
Vintage Cars,496,110000.0000
Classic Cars,496,110000.0000
Classic Cars,496,110000.0000
Classic Cars,496,110000.0000
Classic Cars,496,110000.0000
Vintage Cars,496,110000.0000
Planes,496,110000.0000
Planes,496,110000.0000
Planes,496,110000.0000
Motorcycles,496,110000.0000
Vintage Cars,496,110000.0000
Vintage Cars,496,110000.0000
Planes,496,110000.0000
Planes,496,110000.0000
Planes,496,110000.0000
Planes,496,110000.0000
Planes,496,110000.0000
Ships,496,110000.0000
Vintage Cars,496,110000.0000
Trains,496,110000.0000
Vintage Cars,496,110000.0000
Vintage Cars,496,110000.0000
Planes,496,110000.0000
Ships,496,110000.0000
Planes,496,110000.0000
Vintage Cars,496,110000.0000
Vintage Cars,496,110000.0000
Ships,496,110000.0000
Ships,496,110000.0000
Ships,496,110000.0000
Ships,496,110000.0000
Ships,496,110000.0000
Ships,496,110000.0000
Motorcycles,496,110000.0000
Motorcycles,496,110000.0000
Motorcycles,496,110000.0000
Motorcycles,496,110000.0000
Motorcycles,496,110000.0000
Motorcycles,496,110000.0000
Motorcycles,496,110000.0000
Motorcycles,496,110000.0000
Motorcycles,119,118200.0000
Motorcycles,119,118200.0000
Motorcycles,119,118200.0000
Planes,119,118200.0000
Motorcycles,119,118200.0000
Motorcycles,119,118200.0000
Planes,119,118200.0000
Motorcycles,119,118200.0000
Planes,119,118200.0000
Planes,119,118200.0000
Motorcycles,119,118200.0000
Vintage Cars,119,118200.0000
Vintage Cars,119,118200.0000
Planes,119,118200.0000
Planes,119,118200.0000
Planes,119,118200.0000
Planes,119,118200.0000
Planes,119,118200.0000
Vintage Cars,119,118200.0000
Ships,119,118200.0000
Vintage Cars,119,118200.0000
Ships,119,118200.0000
Ships,119,118200.0000
Ships,119,118200.0000
Ships,119,118200.0000
Motorcycles,119,118200.0000
Classic Cars,119,118200.0000
Motorcycles,119,118200.0000
Motorcycles,119,118200.0000
Motorcycles,119,118200.0000
Planes,119,118200.0000
Motorcycles,119,118200.0000
Vintage Cars,119,118200.0000
Motorcycles,119,118200.0000
Vintage Cars,119,118200.0000
Motorcycles,119,118200.0000
Planes,119,118200.0000
Planes,119,118200.0000
Planes,119,118200.0000
Planes,119,118200.0000
Classic Cars,119,118200.0000
Trucks and Buses,119,118200.0000
Classic Cars,119,118200.0000
Trucks and Buses,119,118200.0000
Trucks and Buses,119,118200.0000
Classic Cars,119,118200.0000
Trucks and Buses,119,118200.0000
Classic Cars,119,118200.0000
Trucks and Buses,119,118200.0000
Classic Cars,119,118200.0000
Trucks and Buses,119,118200.0000
Trucks and Buses,119,118200.0000
Trucks and Buses,119,118200.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Trains,141,227600.0000
Trucks and Buses,141,227600.0000
Trains,141,227600.0000
Vintage Cars,141,227600.0000
Trains,141,227600.0000
Vintage Cars,141,227600.0000
Ships,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Motorcycles,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Vintage Cars,141,227600.0000
Trains,141,227600.0000
Vintage Cars,141,227600.0000
Ships,141,227600.0000
Trains,141,227600.0000
Ships,141,227600.0000
Ships,141,227600.0000
Ships,141,227600.0000
Ships,141,227600.0000
Ships,141,227600.0000
Vintage Cars,141,227600.0000
Planes,141,227600.0000
Motorcycles,141,227600.0000
Motorcycles,141,227600.0000
Motorcycles,141,227600.0000
Motorcycles,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Trucks and Buses,141,227600.0000
Trucks and Buses,141,227600.0000
Planes,141,227600.0000
Ships,141,227600.0000
Vintage Cars,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Planes,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Planes,141,227600.0000
Ships,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Planes,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Vintage Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Ships,141,227600.0000
Vintage Cars,141,227600.0000
Trains,141,227600.0000
Vintage Cars,141,227600.0000
Ships,141,227600.0000
Vintage Cars,141,227600.0000
Vintage Cars,141,227600.0000
Trains,141,227600.0000
Trucks and Buses,141,227600.0000
Trains,141,227600.0000
Ships,141,227600.0000
Ships,141,227600.0000
Ships,141,227600.0000
Ships,141,227600.0000
Ships,141,227600.0000
Ships,141,227600.0000
Classic Cars,141,227600.0000
Motorcycles,141,227600.0000
Classic Cars,141,227600.0000
Motorcycles,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
Classic Cars,141,227600.0000
